request	count	status	retry-after	remaining	policy	instance
1	17	200	-	3	atomic-product-window	8c261994bf26
2	3	200	-	17	atomic-product-window	881c6102fbfb
3	25	429	57	0	atomic-product-window	e87d8dfc97b9
4	18	200	-	2	atomic-product-window	8c261994bf26
5	21	429	59	0	atomic-product-window	891ba928d8a2
6	6	200	-	14	atomic-product-window	881c6102fbfb
7	4	200	-	16	atomic-product-window	881c6102fbfb
8	15	200	-	5	atomic-product-window	881c6102fbfb
9	1	200	-	19	atomic-product-window	881c6102fbfb
10	24	429	58	0	atomic-product-window	83f8654d7822
11	20	200	-	0	atomic-product-window	8c261994bf26
12	13	200	-	7	atomic-product-window	881c6102fbfb
13	10	200	-	10	atomic-product-window	881c6102fbfb
14	14	200	-	6	atomic-product-window	881c6102fbfb
15	16	200	-	4	atomic-product-window	8c261994bf26
16	22	429	58	0	atomic-product-window	8c261994bf26
17	7	200	-	13	atomic-product-window	881c6102fbfb
18	8	200	-	12	atomic-product-window	881c6102fbfb
19	19	200	-	1	atomic-product-window	8c261994bf26
20	12	200	-	8	atomic-product-window	881c6102fbfb
21	5	200	-	15	atomic-product-window	881c6102fbfb
22	23	429	58	0	atomic-product-window	891ba928d8a2
23	11	200	-	9	atomic-product-window	881c6102fbfb
24	9	200	-	11	atomic-product-window	881c6102fbfb
25	2	200	-	18	atomic-product-window	881c6102fbfb

Result: PASS — atomic counts 1–20 returned 200; counts 21–25 returned 429 with positive Retry-After across five function instances.
