request	count	status	retry-after	remaining	policy
1	1	200	-	19	atomic-product-window
2	2	200	-	18	atomic-product-window
3	3	200	-	17	atomic-product-window
4	4	200	-	16	atomic-product-window
5	5	200	-	15	atomic-product-window
6	6	200	-	14	atomic-product-window
7	7	200	-	13	atomic-product-window
8	8	200	-	12	atomic-product-window
9	9	200	-	11	atomic-product-window
10	10	200	-	10	atomic-product-window
11	11	200	-	9	atomic-product-window
12	12	200	-	8	atomic-product-window
13	13	200	-	7	atomic-product-window
14	14	200	-	6	atomic-product-window
15	15	200	-	5	atomic-product-window
16	16	200	-	4	atomic-product-window
17	17	200	-	3	atomic-product-window
18	18	200	-	2	atomic-product-window
19	19	200	-	1	atomic-product-window
20	20	200	-	0	atomic-product-window
21	21	429	58	0	atomic-product-window

Result: PASS — requests 1–20 returned 200; request 21 returned 429 with Retry-After: 58.
